country,state,lat,lng
Cyprus,,35.1264,33.4299
US,"Harrison County, KY",38.4333,-84.3542
Brunei,,4.5353,114.7277
US,"Bennington County, VT",43.0279,-73.135
US,"Carver County, MN",44.8254,-93.7842
US,"Charlotte County, FL",26.8946,-81.9098
US,"Cherokee County, GA",34.2515,-84.4803
US,"Collin County, TX",33.1795,-96.493
US,"Jefferson County, KY",38.1938,-85.6435
US,"Jefferson Parish, LA",29.6499,-90.1121
US,"Shasta County, CA",40.7909,-121.8474
US,"Spartanburg County, SC",34.8606,-81.9535
Iran (Islamic Republic of),,32.0,53.0
Republic of Korea,,36.0,128.0
US,Washington,47.4009,-121.4905
US,New York,42.1657,-74.9481
US,California,36.1162,-119.6816
Hong Kong SAR,Hong Kong,22.3,114.2
US,Massachusetts,42.2302,-71.5301
Taipei and environs,Taiwan,23.7,121.0
US,Diamond Princess,35.4437,139.638
Viet Nam,,16.0,108.0
occupied Palestinian territory,,31.9522,35.2332
US,Grand Princess,37.6489,-122.6655
US,Georgia,33.0406,-83.6431
US,Colorado,39.0598,-105.3111
US,Florida,27.7663,-81.6868
US,New Jersey,40.2989,-74.521
US,Oregon,44.572,-122.0709
US,Texas,31.0545,-97.5635
US,Illinois,40.3495,-88.9861
US,Pennsylvania,40.5908,-77.2098
Macao SAR,Macau,22.1667,113.55
Russian Federation,,60.0,90.0
US,Iowa,42.0115,-93.2105
US,Maryland,39.0639,-76.8021
US,North Carolina,35.6301,-79.8064
US,South Carolina,33.8569,-80.945
US,Tennessee,35.7478,-86.6923
US,Virginia,37.7693,-78.17
US,Arizona,33.7298,-111.4312
US,Indiana,39.8494,-86.2583
US,Kentucky,37.6681,-84.6701
US,District of Columbia,38.8974,-77.0268
US,Nevada,38.3135,-117.0554
US,New Hampshire,43.4525,-71.5639
Republic of Moldova,,47.4116,28.3699
US,Minnesota,45.6945,-93.9002
US,Nebraska,41.1254,-98.2681
US,Ohio,40.3888,-82.7649
US,Rhode Island,41.6809,-71.5118
US,Wisconsin,44.2685,-89.6165
Saint Martin,,18.0708,-63.0501
US,Connecticut,41.5978,-72.7554
US,Hawaii,21.0943,-157.4983
US,Oklahoma,35.5653,-96.9289
US,Utah,40.15,-111.8624
Burkina Faso,,12.2383,-1.5616
Channel Islands,,49.3723,-2.3644
Holy See,,41.9029,12.4534
Mongolia,,46.8625,103.8467
Panama,,8.538,-80.7821
US,Kansas,38.5266,-96.7265
US,Louisiana,31.1695,-91.8678
US,Missouri,38.4561,-92.2884
US,Vermont,44.0459,-72.7107
US,Alaska,61.3707,-152.4044
US,Arkansas,34.9697,-92.3731
