country_code,population,region,income
SMR,33785,Europe & Central Asia,High income
SOM,15008154,Sub-Saharan Africa,Low income
SRB,6982084,Europe & Central Asia,Upper middle income
SSA,1078209758,,
SSD,10975920,Sub-Saharan Africa,Low income
SSF,1078306520,,
SST,40575321,,
STP,211028,Sub-Saharan Africa,Lower middle income
SUR,575991,Latin America & Caribbean,Upper middle income
SVK,5447011,Europe & Central Asia,High income
SVN,2067372,Europe & Central Asia,High income
SWE,10183175,Europe & Central Asia,High income
SWZ,1136191,Sub-Saharan Africa,Lower middle income
SXM,40654,Latin America & Caribbean,High income
SYC,96762,Sub-Saharan Africa,High income
SYR,16906283,Middle East & North Africa,Low income
TCA,37665,Latin America & Caribbean,High income
TCD,15477751,Sub-Saharan Africa,Low income
TEA,2056064424,,
TEC,459865205,,
TGO,7889094,Sub-Saharan Africa,Low income
THA,69428524,East Asia & Pacific,Upper middle income
TJK,9100837,Europe & Central Asia,Low income
TKM,5850908,Europe & Central Asia,Upper middle income
TLA,625569713,,
TLS,1267972,East Asia & Pacific,Lower middle income
TMN,378327628,,
TON,103197,East Asia & Pacific,Upper middle income
TSA,1814388744,,
TSS,1078306520,,
TTO,1389858,Latin America & Caribbean,High income
TUN,11565204,Middle East & North Africa,Lower middle income
TUR,82319724,Europe & Central Asia,Upper middle income
TUV,11508,East Asia & Pacific,Upper middle income
TZA,56318348,Sub-Saharan Africa,Low income
UGA,42723139,Sub-Saharan Africa,Low income
UKR,44622516,Europe & Central Asia,Lower middle income
UMC,2655635719,,
URY,3449299,Latin America & Caribbean,High income
USA,327167434,North America,High income
UZB,32955400,Europe & Central Asia,Lower middle income
VCT,110210,Latin America & Caribbean,Upper middle income
VEN,28870195,Latin America & Caribbean,Upper middle income
VGB,29802,Latin America & Caribbean,High income
VIR,106977,Latin America & Caribbean,High income
VNM,95540395,East Asia & Pacific,Lower middle income
VUT,292680,East Asia & Pacific,Lower middle income
WLD,7594270356,,
WSM,196130,East Asia & Pacific,Upper middle income
XKX,1845300,Europe & Central Asia,Upper middle income
YEM,28498687,Middle East & North Africa,Low income
ZAF,57779622,Sub-Saharan Africa,Upper middle income
